Modifier,Description,,
0004,"Procedures performed in own procedure rooms: Procedures performed in doctors' own procedure rooms instead of in a hospital theatre or unattached theatre unit: as per fee for procedure + 100% (the value of modifier 0004 equals 100% of the value of the procedure performed). See Section V (Section G in SAMA's DBT) for a list of procedures, which are often done in rooms to which Modifier 0004 should not be applied. Please note: Only the medical practitioner who owns the facility and the equipment may charge modifier 0004. Only one person may claim this modifier for procedures performed in doctors' own procedure rooms",,
0005,"Multiple therapeutic procedures/operations under the same anaesthetic:
a) Unless otherwise identified in the tariff when multiple therapeutic procedures/operations add significant time and/or complexity, and when each procedure/operation is clearly identified and defined, the following values shall prevail:  100% (full value) for the first or major procedure/operation, 75% for the second procedure/operation, 50% for the third procedure/operation, 25% for the fourth and subsequent procedures/operations. This modifier does not apply to purely diagnostic procedures.
b) In the case of multiple fractures and/or dislocations the above values shall prevail.
c) When purely diagnostic endoscopic procedures or diagnostic endoscopic procedures unrelated to any therapeutic procedures performed, are performed under the same general anaesthetic, Modifier 0005 is not applicable to the fees for such diagnostic endoscopic procedures as the fees for endoscopic procedures do not provide for after-care. Specify unrelated endoscopic procedure and provide diagnosis to indicate diagnostic endoscopic procedure(s) unrelated to other (therapeutic) procedures performed under the same anaesthetic.
d) Please note:  When more than one small procedure is performed and the tariff makes provision for items for ""subsequent"" or ""maximum for multiple additional procedures"" (see Section 2. Integumentary System) Modifier 0005 is not applicable as the fee is already a reduced fee.
e) “+” Means that this item is used in addition to another definitive procedure and is therefore not subject to reduction according to Modifier 0005 (see also Modifier 0082)",,
0006,"Visiting specialists performing procedures:  Where specialists visit smaller centres to perform procedures, fees for these particular procedures are exclusive of after-care. The referring practitioner will then be entitled to subsequent hospital visits for after-care. If the referring practitioner is not available, the specialist shall, on consultation with the patient, choose an appropriate locum tenens. Both the surgeon and the practitioner who handled the after-care, must in such instances quote Modifier 0006 with the particular items which they use",,
0007,"a) Use of own monitoring equipment in the rooms:  Remuneration for the use of any type of own monitoring equipment in the rooms for procedures performed under intravenous sedation - 15,00 clinical procedure units irrespective of the number of items of equipment provided.
b) Use of own equipment in hospital theatre or unattached theatre unit:  Remuneration for the use of any type of own equipment for procedures performed in a hospital theatre or unattached theatre unit when appropriate equipment is not provided by the hospital - 15,00 clinical procedure units irrespective of the number of items of equipment provided. Equipment: TCI Pump, Sonar Machine",,
0008,"Specialist surgeon assistant: Where a procedure requires a registered specialist surgeon assistant, the fee is 33,33% (1/3) of the fee for the specialist surgeon",,
0009,"Assistant: The fee for an assistant is 20% of the fee for the specialist surgeon, with a minimum of 36,00 clinical procedure units. The minimum fee payable may not be less than 36,00 clinical procedures units",,
0010,"Local anaesthesic: (a) A fee for a local anaesthetic administered by the operator may only be charged for (1) an operation or procedure having a value greater than 30,00 clinical procedure units (i.e. 31,00 or more clinical procedure units allocated to a single item) or (2) where more than one operation or procedure is done at the same time with a combined value greater than 50,00 clinical procedure units. (b) The fee shall be calculated according to the basic anaesthetic units for the specific operation. Anaesthetic time may not be charged for, but the minimum fee as per Modifier 0036: Anaesthetic administered by a general practitioner, shall be applicable in such a case. (c) Not applicable to radiological procedures (such as angiography and myelography. (d) No fee may be levied for topical application of local anaesthetic. (e) Please note: Modifier 0010: Local anaesthetic administered by the operator, may not be added on the surgeon’s account for procedures that were performed under general anaesthetic.",,
0011,"Emergency procedures: Any bona fide, justifiable emergency procedure (all hours) undertaken in an operating theatre and/or in another setting in lieu of an operating theatre, will attract an additional 12,00 clinical procedure units per half-hour or part thereof of the operating time for all members of the surgical team. Modifier 0011 does not apply in respect of patients on scheduled lists. (A medical emergency is any condition where death or irreparable harm to the patient will result if there are undue delays in receiving appropriate medical treatment). For COID accounts to only bill on Weekdays from 17:00 - 08:00, Saterdays after 13:00, Sundays and vacation days for the whole day (Only applicable when a procedure was done.)",,
0013,"Endoscopic examinations done at operations: Where a related endoscopic examination is done at an operation by the operating surgeon or the attending anaesthesiologist, only 50% of the fee for the endoscopic examination may be charged",,
0014,"Operations previously performed by other surgeons: Where an operation is performed which has been previously performed by another surgeon, e.g. a revision or repeat operation, the fee shall be calculated according to the tariff for the full operation plus an additional fee to be negotiated under general Rule J: In exceptional cases where the fee is disproportionately low in relation to actual service rendered, except where already specified in the tariff",,
0015,"Intravenous infusions: Where intravenous infusions (including blood and blood cellular products) are administered as part of the after-treatment after the operation or confinement, no extra fees shall be charged as this is included in the global operative or maternity fees.  Should the practitioner doing the operation or attending to the maternity case prefer to ask another practitioner to perform post-operative or post-confinement intravenous infusions, then the practitioner himself (and not the patient) shall be responsible for remunerating such practitioner for the infusions",,
0017,"Injections administered by practitioners: When desensitization, intravenous, intra-muscular or subcutaneous injections are administered by the practitioner him-/her- self to patients who attend the consulting rooms, a first injection forms part of the consultation/visit and only all subsequent injections for the same condition should be charged at 7,50 consultative services units using modifier 0017 to reflect the amount ( not chargeable together with a consultation item)",,
0018,Surgical modifier for persons with a BMI of 35> (calculated according to kg/m2): Fee for procedure +50% for surgeons and a 50% increase in anaesthetic time units for anaesthesiologists. Anaesthesiologist calculation weigh / length x length or Time / 2 x a/u,,
0019,Surgery on neonates (up to and including 28 days after birth) and low birth weight infants (less than 2500g) under general anaesthesia (excluding circumcision): per fee for procedure + 50% for surgeons and a 50% increase in anaesthetic time units for anaesthesiologists (Modifier 0043 + 0044 can be added),,
0020,"Conscious sedation: Any case that is conducted outside of a hospital theatre shall be coded with the relevant procedure code. To identify these cases, the above modifier should be used to indicate to the medical  scheme that there will be no hospital/theatre account. (Indicator modifier)",,
0021,"Determination of anaesthetic fees: Anaesthetic fees are determined by obtaining the sum of the basic anaesthetic units (allocated to each procedure that might be performed under anaesthetic as indicated in the ""Anaesthetic Performed"" column) plus the time units (calculated according to the formula in Modifier 0023) and the appropriate modifers (see Modifiers 0037-0044). In cases of operative procedures on the musculoskeletal system, open fractures and open reduction of fractures or dislocations add units as laid down by Modifiers 5441 to 5448",,
0023,"The basic anaesthetic units are laid down in the tariff and are reflected in the anaesthetic column. These basic anaesthetic units reflect the additional anaesthetic risk, the technical skill required of the anaesthesiologist/anaesthetist and the scope of the surgical procedure, but exclude the value of the actual time spent administering the anaesthetic. The time units (indicated by “T”) will be added to the listed basic anaesthetic units in all cases on the following basis: Anaesthetic time: The remuneration for anaesthetic time shall be per 15 minute period or part thereof, calculated from the commencement of the anaesthetic, i.e. 2,00 anaesthetic units per 15 minute period or part thereof, provided that should the duration of the anaesthetic be longer than one (1) hour the number of units shall, after one (1) hour, be 3,00 anaesthetic units per 15 minute period or part thereof.",,
0024,"Pre-operative assessments not followed by procedures: If a pre-operative assessment of a patient by the anaesthesiologist/anaesthetist is not followed by an operation, it will be regarded as a visit at hospital or nursing home and the appropriate hospital visit item should be charged.",,
0025,"Calculation of anaesthetic time:  Anaesthetic time is calculated from the time the anaesthesiologist/anaesthetist begins to prepare the patient for the induction of anaesthesia in the operating theatre or in a similar equivalent area and ends when the anaesthesiologist/anaesthetist is no longer required to give his/her personal professional attention to the patient, i.e. when the patient may, with reasonable safety, be placed under the customary post-operative supervision.  Where prolonged personal professional attention is necessary for the well-being and safety of such patient, the necessary time will be valued on the same basis as indicated above for the anaesthetic time.  The anaesthesiologist/anaesthetist must show on his/her account the exact anaesthetic time, including the supervision time spent with the patient.",,
0026,"One lung ventilation: Utilization of one lung ventilation: Add 3,00 anaesthetic units",,
0027,"More than one procedure under the same anaesthetic: Where more than one operation is performed under the same anaesthetic, the basic anaesthetic units will be that of the major operation with the highest number of units",,
0028,Indicator for use of low flow anaesthetic technique less than 1litre/minute: Fresh gas flow of less than 1 litre/minute. (Indicator modifier),,
0029,"Assistant anaesthesiologists: When rendered necessary by the scope of the anaesthetic, an assistant anaesthesiologist may be employed. The remuneration of the assistant anaesthesiologist shall be calculated on the same basis as in the case where a general practitioner administers the anaesthetic
•	Consultations, 0037 – 0044, 5441 – 5448 not chargeable
•	To be billed the same as 0036 (80% above an hour)
•	0035 applies
•	Assistant (0029) & Anaesthesiologist (0023) may not both bill for: 1204 – 1210 & 1212 – 1218
•	0011 & 0019 to be billed x2, 0018 x1 (same rules apply as for 0023)",,
0030,Indicator for use of low flow anaesthetic technique 1-2 litre/minute: Fresh gas flow of 1 to 2 litre/minute. (Indicator modifier),,
0031,"Intravenous drips and transfusions: Treatment with intravenous drips and transfusions is considered part of the normal treatment in administering an anaesthetic. No additional fees may be charged for such services when rendered either prior to, or during actual theatre or operating time. (Indicator modifier)",,
0032,"Any procedure performed in any position other than lithotomy or supine has a basic minimum value of 5.00. When the basic anaesthetic units for the procedure is 3,00, two extra anaesthetic units should be added. If the basic anaesthetic units for the procedure is 4,00, one extra anaesthetic unit should be added. If the basic anaesthetic units for the procedure is 5,00 or more, no extra units should be added. (Not applicable with 0034)",,
0033,"Participating in general care of patients: When an anaesthesiologist/anaesthetist is required to participate in the general care of a patient during a surgical procedure, but does not administer the anaesthetic, such services may be remunerated at full anaesthetic rate, subject to the provisos of modifier 0035: Anaesthetic administered by an anaesthesiologist/anaesthetist. and modifier 0036: Anaesthetic administered by general practitioners.",,
0034,"Head, neck and shoulder girdle procedures: All anesthetics administered for diagnostic, surgical or X-ray procedures on the head, neck and shoulder girdle shall have a minimum of 5,00 basic anaesthetic units. When the basic anaesthetic units for the procedure is 3,00, two extra anaesthetic units should be added. If the basic anaesthetic units for the procedure is 4,00, one extra anaesthetic unit should be added. If the basic anaesthetic units for the procedure is 5,00 or more, no extra units should be added. 
(Not applicable with 0032 & 1105)",,
0035,"Anaesthetic administered by an anaesthesiologist/anaesthetist: No anaesthetic administered shall have a total value of less than 7,00 anaesthetic units (basic units, time units plus appropriate modifiers).",,
0036,"Anaesthetic administered by general practitioners: The units (basic units plus time plus the appropriate modifiers) used to calculate the fee for an anaesthetic administered by a general practitioner lasting one hour or less, shall be the same as that for an anaesthesiologist. For anaesthetic lasting more than one hour, the units used to calculate the fee for an anaesthetic administered by a general practitioner will be 4/5 (80%) of the total number of units (basic units plus time [refer to modifier 0023] plus the appropriate modifiers) applicable to an anaesthesiologist.  Please note that the 4/5 (80%) principle will be applied to all anaesthetics administered by general practitioners with the proviso that no anaesthetic with a total number of units higher than 11.00 will be reduced to less than 11,00 units in total. ",,
