Modifier,Description
0004,"Procedures performed in own procedure rooms: Procedures performed in doctors' own procedure rooms instead of in a hospital theatre or unattached theatre unit: as per fee for procedure + 100% (the value of modifier 0004 equals 100% of the value of the procedure performed). See Section V (Section G in SAMA's DBT) for a list of procedures, which are often done in rooms to which Modifier 0004 should not be applied. Please note: Only the medical practitioner who owns the facility and the equipment may charge modifier 0004. Only one person may claim this modifier for procedures performed in doctors' own procedure rooms"
0005,Multiple therapeutic procedures/operations under the same anaesthetic:
,
,"a) Unless otherwise identified in the tariff when multiple therapeutic procedures/operations add significant time and/or complexity, and when each procedure/operation is clearly identified and defined, the following values shall prevail:  100% (full value) for the first or major procedure/operation, 75% for the second procedure/operation, 50% for the third procedure/operation, 25% for the fourth and subsequent procedures/operations. This modifier does not apply to purely diagnostic procedures."
,
,b) In the case of multiple fractures and/or dislocations the above values shall prevail.
,
,"c) When purely diagnostic endoscopic procedures or diagnostic endoscopic procedures unrelated to any therapeutic procedures performed, are performed under the same general anaesthetic, Modifier 0005 is not applicable to the fees for such diagnostic endoscopic procedures as the fees for endoscopic procedures do not provide for after-care. Specify unrelated endoscopic procedure and provide diagnosis to indicate diagnostic endoscopic procedure(s) unrelated to other (therapeutic) procedures performed under the same anaesthetic."
,
,"d) Please note:  When more than one small procedure is performed and the tariff makes provision for items for ""subsequent"" or ""maximum for multiple additional procedures"" (see Section 2. Integumentary System) Modifier 0005 is not applicable as the fee is already a reduced fee."
,
,e) “+” Means that this item is used in addition to another definitive procedure and is therefore not subject to reduction according to Modifier 0005 (see also Modifier 0082)
0006,"Visiting specialists performing procedures:  Where specialists visit smaller centres to perform procedures, fees for these particular procedures are exclusive of after-care. The referring practitioner will then be entitled to subsequent hospital visits for after-care. If the referring practitioner is not available, the specialist shall, on consultation with the patient, choose an appropriate locum tenens. Both the surgeon and the practitioner who handled the after-care, must in such instances quote Modifier 0006 with the particular items which they use"
0007,"a) Use of own monitoring equipment in the rooms:  Remuneration for the use of any type of own monitoring equipment in the rooms for procedures performed under intravenous sedation - 15,00 clinical procedure units irrespective of the number of items of equipment provided."
,
,"b) Use of own equipment in hospital theatre or unattached theatre unit:  Remuneration for the use of any type of own equipment for procedures performed in a hospital theatre or unattached theatre unit when appropriate equipment is not provided by the hospital - 15,00 clinical procedure units irrespective of the number of items of equipment provided."
0008,"Specialist surgeon assistant: Where a procedure requires a registered specialist surgeon assistant, the fee is 33,33% (1/3) of the fee for the specialist surgeon"
0009,"Assistant: The fee for an assistant is 20% of the fee for the specialist surgeon, with a minimum of 36,00 clinical procedure units. The minimum fee payable may not be less than 36,00 clinical procedures units"
0010,"Local anaesthesic: (a) A fee for a local anaesthetic administered by the operator may only be charged for (1) an operation or procedure having a value greater than 30,00 clinical procedure units (i.e. 31,00 or more clinical procedure units allocated to a single item) or (2) where more than one operation or procedure is done at the same time with a combined value greater than 50,00 clinical procedure units. (b) The fee shall be calculated according to the basic anaesthetic units for the specific operation. Anaesthetic time may not be charged for, but the minimum fee as per Modifier 0036: Anaesthetic administered by a general practitioner, shall be applicable in such a case. (c) Not applicable to radiological procedures (such as angiography and myelography. (d) No fee may be levied for topical application of local anaesthetic. (e) Please note: Modifier 0010: Local anaesthetic administered by the operator, may not be added on the surgeon’s account for procedures that were performed under general anaesthetic."
0011,"Emergency procedures: Any bona fide, justifiable emergency procedure (all hours) undertaken in an operating theatre and/or in another setting in lieu of an operating theatre, will attract an additional 12,00 clinical procedure units per half-hour or part thereof of the operating time for all members of the surgical team. Modifier 0011 does not apply in respect of patients on scheduled lists. (A medical emergency is any condition where death or irreparable harm to the patient will result if there are undue delays in receiving appropriate medical treatment)"
0013,"Endoscopic examinations done at operations: Where a related endoscopic examination is done at an operation by the operating surgeon or the attending anaesthesiologist, only 50% of the fee for the endoscopic examination may be charged"
0014,"Operations previously performed by other surgeons: Where an operation is performed which has been previously performed by another surgeon, e.g. a revision or repeat operation, the fee shall be calculated according to the tariff for the full operation plus an additional fee to be negotiated under general Rule J: In exceptional cases where the fee is disproportionately low in relation to actual service rendered, except where already specified in the tariff"
0015,"Intravenous infusions: Where intravenous infusions (including blood and blood cellular products) are administered as part of the after-treatment after the operation or confinement, no extra fees shall be charged as this is included in the global operative or maternity fees.  Should the practitioner doing the operation or attending to the maternity case prefer to ask another practitioner to perform post-operative or post-confinement intravenous infusions, then the practitioner himself (and not the patient) shall be responsible for remunerating such practitioner for the infusions"
0018,Surgical modifier for persons with a BMI of 35> (calculated according to kg/m2): Fee for procedure +50% for surgeons and a 50% increase in anaesthetic time units for anaesthesiologists
0019,Surgery on neonates (up to and including 28 days after birth) and low birth weight infants (less than 2500g) under general anaesthesia (excluding circumcision): per fee for procedure + 50% for surgeons and a 50% increase in anaesthetic time units for anaesthesiologists
